,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.53478854,3.106287425,-0.692931682,21.79745223,15.31305044,23.77917331,29.00168338,34.23677295,33.36627332,26.49466239,20.67357623,20.67687561,34.57649485,53.17148254,57.99043399,41.53483729,29.85938484,21.52500837,18.69363085,18.9486398,18.05957848,20.26784686,22.3167232,25.65793544,27.51003574,27.91357117,25.68133825,24.3789257,20.1294761,20.14042433,
6.250000319,6.896551996,7.377048973,6.015037646,5.369127352,5.766593118,6.767566522,6.851483879,8.189644417,8.288770053,4.530794619,7.607678643,3.181696102,5.311823807,4.052299601,7.580076434,9.088417504,11.19641139,14.03688618,14.91621548,13.88576799,17.0061756,14.45739664,22.82679966,18.37083548,13.86112932,11.64423,22.61237161,15.0351399,16.46288679,14.53697686,14.40976319,10.63829807,11.54014928,6.974127152,6.363436388,8.209806157,6.096849475,6.771614193,5.88493632,2.78113771,4.468258563,3.948660199,7.868790037,10.34709713,18.2,18.51298572,15.1864583,13.40895869,18.97487302,17.16038243,16.34574756,16.3242741,14.61992918,14.19999622,12.17761858,9.190553677,8.805998394,11.10343828,12.26299983,
,,,,,,,,,,29.65668882,28.55708894,26.55953581,27.59357504,30.2930162,26.63223657,26.97558008,26.63427689,26.42134146,25.95757386,26.55511066,22.57300126,21.59879229,18.75908881,19.818269,18.97726223,18.5655924,19.63468777,21.8609745,23.52586536,24.34637344,22.84027614,22.59252526,21.93188944,22.01276848,21.79077206,21.63074679,22.30034159,22.34865908,22.68901182,23.7829613,22.6338255,20.74740198,20.96470771,22.66706017,23.6810632,23.97054911,24.60327415,25.93677033,22.1732846,23.12677669,24.50693916,23.68992583,22.4281969,23.13618772,23.62795037,24.25221229,24.45819703,25.52716067,24.95230503,
11.42497178,10.96284084,11.10921134,11.61682918,9.734165832,8.777499711,8.778295118,11.82516305,12.3746563,12.66318808,11.59238015,10.28564363,13.36363688,13.07596876,18.23111591,19.30209116,16.65218578,17.75093422,16.06401038,19.0221797,15.15656795,15.67675224,27.60441693,17.32151508,12.78031782,8.939973748,13.46444464,12.92694051,15.63323062,11.81714414,14.06035642,14.47804469,13.62110874,16.05813651,17.80221471,21.41976714,17.55116797,18.54485643,18.15515708,18.22709372,16.00840245,17.75272024,14.83372253,15.16379004,15.21860513,12.08604489,12.87346512,16.376868,13.74042066,14.86571873,15.60808921,16.46255728,15.27631274,18.86187235,19.25758563,20.73186635,20.2720396,23.96042223,26.39232072,25.62980058,
8.519938835,8.654232441,8.707800699,8.801236956,9.63910844,8.711953097,7.972084048,8.022715569,8.270184987,9.610307098,10.27003377,14.87390023,17.27749445,20.63106893,25.52317181,23.104222,22.84450386,19.56245445,18.3189338,16.40009385,15.10695056,14.13092965,17.92663493,17.13226585,14.16662848,22.95327815,20.13659159,19.22265641,18.78891127,20.41001717,18.91339663,21.2456099,19.30243347,19.45939738,27.16616165,23.92534288,24.94470713,27.39177838,24.17456283,17.29650159,14.57069906,13.54589787,13.45168488,15.45928136,15.51810381,17.56359353,16.12500563,18.25108478,20.73196245,19.99003226,21.990434,22.1235118,24.6529929,23.70991501,19.26224919,19.40669972,20.79554795,22.06183659,22.72642963,22.95268268,
6.89426584,7.729411347,11.99040867,9.855628673,11.97516625,11.47627524,9.016898293,10.70870412,14.15480135,12.50836367,11.34465694,8.227827284,4.697696405,8.712006898,7.374857223,6.147905815,9.911362042,11.5232178,11.54679855,11.20387213,14.4393913,17.15576644,17.36327909,16.56273677,16.48425757,15.8309437,16.17645483,15.47344203,15.73598307,16.12091443,16.45867552,16.89594746,17.30502928,17.94683201,18.40255619,19.11979582,20.7299506,21.81621451,22.12141282,22.7213703,23.80856257,24.17430673,24.34141614,24.67918886,24.99183394,25.83043551,26.14414575,26.17849707,26.2022714,26.20605702,26.24665618,27.42097337,28.26233501,28.38962075,28.57787571,28.88668925,29.65256533,30.51045462,31.23492404,31.57030455,
,,,,,,,,,,,,,,,,,,,,33.99635532,35.48781365,34.12952814,32.88992641,33.20335071,32.19727998,35.87634137,32.90383863,34.41743534,33.10905728,25.58877829,22.59764186,19.88894422,15.28203413,9.391171994,17.72876855,1.157355124,9.727392146,18.70861022,19.8437068,19.04614416,21.35107179,20.52902088,22.07417218,23.4333504,27.73967225,32.05633531,33.62720509,36.95330488,28.5382211,22.65515934,21.46736303,21.99466487,21.08253874,21.57520659,21.04905301,19.00605578,19.88242443,21.25698312,21.10710787,
,,,,,,,,,,,,,,,,,,,,46.12728607,41.61363602,36.27808579,43.85501994,42.58086483,35.6492608,26.62716738,25.45868163,20.1996983,24.63688305,16.42982897,28.59941234,29.41670399,18.30409656,19.63313176,14.60853026,14.40526585,17.44648693,21.42273451,7.905202165,16.57505906,15.7093969,23.34773062,23.73581036,20.51993544,26.73527374,30.38795365,34.71326042,34.94812409,26.14469719,27.28649313,22.40295749,28.14636897,25.9405926,26.84450421,25.53079047,29.15394357,32.9434239,36.35781863,,
,,,,,,,,,,,,,,,,,12.51051893,11.34070159,12.8268106,18.28802516,18.84332282,21.46613445,20.33125577,16.34902749,19.17094063,18.42264914,18.79513702,,31.49967342,29.41471889,29.35689582,27.86137022,23.33958603,25.86069346,27.65500146,30.49376559,29.07920586,32.11223991,28.75243855,30.18521706,26.87359564,24.20854933,24.27371086,23.19086412,27.3367764,33.51643758,30.51041877,29.45563367,28.05360871,27.98600601,30.18335824,31.34210158,28.97789637,31.54811188,24.90350787,25.87919688,27.26028165,25.10117416,25.92202551,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.98314608,41.2139014,41.99999937,38.00000028,27.99997931,20.55163829,19.07743096,18.56020548,18.8448011,26.61838104,27.20824795,21.63593998,25.78043441,27.69834083,20.39800762,16.8502658,19.15692428,19.52345886,18.36998465,19.36835838,19.02774398,20.10997691,21.91117118,21.60449816,21.61062933,
